,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
130,Tura,25.52,90.22,81.64,79,68,7.34,IN,1597546084
131,Dicabisagan,17.08,122.42,79.12,87,100,4.25,PH,1597546085
132,Bredasdorp,-34.53,20.04,44.6,87,50,16.11,ZA,1597546085
133,Tulum,20.22,-87.47,84.99,83,75,4.79,MX,1597546085
134,Port Alfred,-33.59,26.89,50.49,69,88,19.73,ZA,1597546085
135,Sola,-13.88,167.55,78.89,83,99,23.17,VU,1597546085
136,San Policarpo,12.18,125.51,85.35,69,69,6.46,PH,1597546085
137,Esperance,-33.87,121.9,62.6,77,75,24.16,AU,1597546086
138,Bilma,18.69,12.92,87.22,17,69,7.27,NE,1597546086
139,Yining,29.04,114.56,93.13,52,0,4.47,CN,1597546086
140,Prince George,53.92,-122.75,71.01,77,1,3.36,CA,1597545849
141,Mollendo,-17.02,-72.01,57.87,77,98,7.23,PE,1597546086
142,Merauke,-8.47,140.33,81.05,64,97,11.92,ID,1597546086
143,Dikson,73.51,80.55,43.38,88,28,2.73,RU,1597546087
144,Puri,19.8,85.85,80.6,100,75,10.29,IN,1597546087
145,Velizh,55.61,31.2,55.29,96,28,3.85,RU,1597546087
146,Valdivia,-39.81,-73.25,44.6,87,75,5.82,CL,1597546087
147,Cabo San Lucas,22.89,-109.91,89.6,51,5,11.41,MX,1597546087
148,Lata,40.16,-8.33,60.01,100,40,2.24,PT,1597546088
149,Palmerston,-12.49,130.98,91.0,49,20,4.7,AU,1597546088
150,Matamoros,25.53,-103.25,93.2,18,20,14.99,MX,1597546089
151,Miraflores,19.22,-98.81,62.6,67,75,6.93,MX,1597546089
152,Vanavara,60.34,102.28,58.84,44,0,7.78,RU,1597546089
153,Paamiut,61.99,-49.67,43.92,75,0,5.46,GL,1597546089
154,Acarí,-15.43,-74.62,61.03,61,57,1.88,PE,1597546090
155,Singleton,-32.57,151.18,64.99,38,17,18.99,AU,1597546090
156,Lebu,-37.62,-73.65,43.57,74,28,7.74,CL,1597546090
157,Dudinka,69.41,86.18,62.6,59,100,13.42,RU,1597546090
158,Atasū,48.68,71.64,72.28,38,100,7.81,KZ,1597546090
159,Salalah,17.02,54.09,75.2,100,90,8.05,OM,1597546091
160,Alofi,-19.06,-169.92,75.2,57,0,11.41,NU,1597546091
161,Crixás,-14.55,-49.97,72.41,42,0,0.94,BR,1597546091
162,Chui,-33.7,-53.46,44.91,71,0,8.63,UY,1597546091
163,Pinkafeld,47.37,16.12,64.0,95,69,3.09,AT,1597546091
164,Tommot,58.96,126.29,61.61,46,98,5.91,RU,1597546091
165,Gallup,35.53,-108.74,87.8,8,1,10.29,US,1597546092
166,Carnarvon,-24.87,113.63,68.0,72,90,17.22,AU,1597546092
167,Magadan,59.57,150.8,60.57,65,75,4.85,RU,1597545796
168,San Patricio,19.22,-104.7,81.18,77,96,2.24,MX,1597546092
169,Soller,39.77,2.72,77.0,83,3,3.36,ES,1597546092
170,Vardø,70.37,31.11,47.82,76,97,20.76,NO,1597546092
171,Viedma,-40.81,-63.0,37.99,53,0,3.0,AR,1597546093
172,Hualmay,-11.1,-77.61,58.32,85,17,9.78,PE,1597546093
173,Port Pirie,-33.18,138.02,57.2,82,90,8.05,AU,1597546093
174,Pontianak,-0.03,109.33,82.29,71,98,4.03,ID,1597546027
175,Locri,38.24,16.26,80.6,88,75,4.7,IT,1597546093
176,Naze,28.37,129.48,89.6,75,20,11.41,JP,1597546093
177,Port Moresby,-9.44,147.18,86.0,58,20,11.41,PG,1597546094
178,Lompoc,34.64,-120.46,75.99,60,1,8.05,US,1597545908
179,Talara,-4.58,-81.27,61.61,88,15,13.09,PE,1597546094
180,Thompson,55.74,-97.86,55.4,87,40,3.36,CA,1597546094
181,Mossamedes,-15.2,12.15,59.41,89,13,5.32,AO,1597546094
182,Pierre,44.37,-100.35,77.0,43,1,6.93,US,1597545902
183,Saldanha,-33.01,17.94,42.8,93,2,3.36,ZA,1597546095
184,Grindavik,63.84,-22.43,51.8,100,90,13.87,IS,1597546095
185,Nyurba,63.28,118.33,55.51,48,41,7.78,RU,1597546095
186,Tuktoyaktuk,69.45,-133.04,51.8,62,90,4.7,CA,1597546095
187,Soyo,-6.13,12.37,71.26,88,55,6.13,AO,1597546095
188,Puerto Escondido,15.85,-97.07,82.09,76,61,4.72,MX,1597546095
189,Grand-Santi,4.25,-54.38,76.03,84,96,2.13,GF,1597546096
190,Aklavik,68.22,-135.01,50.0,76,90,6.93,CA,1597546096
191,Lahad Datu,5.03,118.33,85.93,65,21,3.96,MY,1597546096
192,Bouna,9.27,-3.0,68.94,97,57,3.83,CI,1597546096
193,Melfi,41.0,15.65,75.99,83,5,8.05,IT,1597546096
194,Saint Paul Harbor,57.79,-152.41,73.4,33,1,12.75,US,1597546096
195,Meulaboh,4.14,96.13,84.54,69,63,3.78,ID,1597546097
196,Chokurdakh,70.63,147.92,43.41,67,93,7.52,RU,1597546097
197,Cabedelo,-6.98,-34.83,73.4,100,75,5.82,BR,1597546097
198,Ponta do Sol,32.67,-17.1,71.6,64,20,13.87,PT,1597546097
199,Egvekinot,66.32,-179.17,57.78,53,72,8.08,RU,1597546097
200,Portland,45.52,-122.68,97.0,23,20,8.05,US,1597546098
201,Chebarkul',54.97,60.36,52.63,97,100,4.63,RU,1597546098
202,Waitati,-45.75,170.57,46.0,81,63,13.0,NZ,1597546098
203,Fare,-16.7,-151.02,78.73,77,100,14.12,PF,1597546098
204,Deep River,46.1,-77.5,71.6,68,1,5.79,CA,1597546039
205,Barrow,71.29,-156.79,44.6,93,90,9.17,US,1597545902
206,East London,-33.02,27.91,51.89,63,11,18.52,ZA,1597546098
207,Nānākuli,21.39,-158.15,89.6,46,20,8.05,US,1597546099
208,Alyangula,-13.85,136.42,87.8,38,0,9.17,AU,1597546099
209,Hamilton,39.18,-84.53,78.01,94,75,3.58,US,1597545951
210,Vereeniging,-26.67,27.93,50.0,46,0,3.29,ZA,1597546099
211,Acapulco de Juárez,16.86,-99.89,84.2,74,20,1.83,MX,1597546099
212,Narasannapeta,18.42,84.05,80.06,84,100,14.38,IN,1597546099
213,Cherskiy,68.75,161.3,56.25,43,97,1.86,RU,1597546100
214,Trairi,-3.28,-39.27,77.67,75,49,12.8,BR,1597546100
215,Pedernales,18.04,-71.74,81.84,73,84,2.93,DO,1597546100
216,Bosaso,11.28,49.18,88.48,43,10,24.0,SO,1597546100
217,Mosquera,4.71,-74.23,53.6,93,20,2.24,CO,1597546055
218,Fortuna,40.6,-124.16,77.0,47,0,0.76,US,1597546100
219,Kalawit,8.07,122.52,85.32,72,12,5.37,PH,1597546101
220,Dayong,25.02,118.29,89.6,62,20,4.47,CN,1597546101
221,Geraldton,-28.77,114.6,59.0,67,75,19.46,AU,1597546101
222,Akdepe,42.06,59.38,66.2,63,46,11.41,TM,1597546101
223,Pimenta Bueno,-11.67,-61.19,80.94,34,32,4.88,BR,1597546101
224,Kovdor,67.57,30.48,44.62,84,59,9.62,RU,1597546101
225,Yinzhu,35.88,119.98,91.4,66,16,6.71,CN,1597546101
226,Cidreira,-30.18,-50.21,59.38,89,57,12.46,BR,1597546102
227,Byron Bay,-28.65,153.62,71.01,44,0,5.99,AU,1597545839
228,Sydney,-33.87,151.21,68.0,40,47,24.16,AU,1597546056
229,Bontang,0.13,117.5,84.49,70,2,6.96,ID,1597545904
230,Olmos,-5.98,-79.75,60.98,82,40,1.14,PE,1597546102
231,Totskoye,52.52,52.76,55.67,89,100,10.83,RU,1597546103
232,Araouane,18.9,-3.53,97.25,29,0,15.55,ML,1597546103
233,Przhevalskoye,55.51,31.85,53.89,97,24,4.5,RU,1597546103
234,Cairns,-16.92,145.77,84.0,37,0,8.05,AU,1597546034
235,Arman',59.7,150.17,62.06,68,95,3.8,RU,1597546103
236,Vostok,46.49,135.88,72.7,55,0,11.05,RU,1597546103
237,Wagar,16.15,36.2,81.55,61,84,14.85,SD,1597546104
238,Roebourne,-20.78,117.13,77.07,52,5,6.96,AU,1597546104
239,Saint-Pierre,-21.34,55.48,66.2,55,40,5.82,RE,1597546104
240,Margate,51.38,1.39,69.01,96,91,1.01,GB,1597546104
241,Pitimbu,-7.47,-34.81,73.4,100,75,5.82,BR,1597546104
242,Takoradze,4.88,-1.76,73.45,91,28,7.94,GH,1597546104
243,Coquimbo,-29.95,-71.34,48.2,87,0,2.24,CL,1597546105
244,Kloulklubed,7.04,134.26,80.6,88,75,10.29,PW,1597546080
245,Luena,-11.78,19.92,52.3,41,4,3.29,AO,1597546105
246,San Cristobal,7.77,-72.22,66.76,92,100,1.95,VE,1597546105
247,Tanete,-3.94,119.78,74.39,92,100,7.45,ID,1597546105
248,Grand Gaube,-20.01,57.66,72.0,65,65,7.0,MU,1597546106
249,Verkh-Usugli,52.7,115.17,60.46,75,91,4.85,RU,1597546106
250,Piaçabuçu,-10.41,-36.43,73.09,88,0,6.62,BR,1597546106
251,Haines Junction,60.75,-137.51,50.59,86,100,2.8,CA,1597546106
252,Guerrero Negro,27.98,-114.06,78.48,54,0,11.3,MX,1597546106
253,Kumul,42.8,93.45,79.39,20,0,7.09,CN,1597546107
254,Arrecife,28.96,-13.55,71.6,78,0,19.46,ES,1597546107
255,Usinsk,65.99,57.53,54.01,65,93,10.74,RU,1597546107
